,name,address,bedroom,bathroom,area,price/m2,price,description,link
5075,Rumah Kokoh Dan Nyaman 3 Lantai,"Pasir Impun, Arcamanik, Bandung, Jawa Barat",4,2,150 m²,Rp 13.750.000 per m²,Rp 825 jt,,https://www.rumah.com/listing-properti/dijual-rumah-kokoh-dan-nyaman-3-lantai-oleh-irwan-ruhaendi-16898064
5076,"Rumah , Kos Dan Toko Dekat Kampus Di padasuka","Padasuka, Asia Afrika, Bandung, Jawa Barat",10,5,200 m²,Rp 11.009.174 per m²,"Rp 2,4 M",,https://www.rumah.com/listing-properti/dijual-rumah-kos-dan-toko-dekat-kampus-di-padasuka-oleh-irwan-ruhaendi-16912101
5077,"Dijual Rumah Siap Huni di Lamargas Residence, Margaasih","Jalan Raya Nanjung, Margaasih, Bandung, Jawa Barat",2,2,108 m²,Rp 7.962.963 per m²,Rp 860 jt,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-siap-huni-di-lamargas-residence-margaasih-oleh-emmy-claufina-16689622
5078,Rumah Baru 2 lantai tinggal 1 Lagi,"Buahbatu, Bandung, Jawa Barat",3,2,70 m²,Rp 10.000.000 per m²,Rp 950 jt,,https://www.rumah.com/listing-properti/dijual-rumah-baru-2-lantai-tinggal-1-lagi-oleh-irfan-firdaus-17370067
5079,Rumah Murah Kota Bandung,"Cisaranten Endah, Arcamanik, Bandung, Jawa Barat",2,1,45 m²,Rp 6.597.222 per m²,Rp 475 jt,,https://www.rumah.com/listing-properti/dijual-rumah-murah-kota-bandung-oleh-wasono-17370037
5080,Batununggal Indah Cluster Mulia,". Jl. Soekarno Hatta, Dayeuh Kolot, Bandung, Dayeuhkolot, Bandung, Jawa Barat",3,3,150 m²,Rp 15.000.000 per m²,"Rp 2,7 M",,https://www.rumah.com/listing-properti/dijual-batununggal-indah-cluster-mulia-oleh-soen-soen-17370016
5081,Rumah di Gerlong Setiabudi Bandung,"Rumah di Gerlong Setiabudi Bandung, Sukasari, Bandung, Jawa Barat",5,5,230 m²,Rp 12.173.913 per m²,"Rp 2,8 M",,https://www.rumah.com/listing-properti/dijual-rumah-di-gerlong-setiabudi-bandung-oleh-hendriansyah-17369898
5082,Perumahan Sukadamai,"sukagalih, Sukajadi, Bandung, Jawa Barat",3,2,150 m²,Rp 15.348.837 per m²,"Rp 3,3 M",,https://www.rumah.com/listing-properti/dijual-perumahan-sukadamai-oleh-meiliani-17369792
5083,"Rumah Nyaman Dan Siap Huni Dijual Di Turangga, Bandung","Turangga, Turangga, Bandung, Jawa Barat",6,4,170 m²,Rp 13.888.889 per m²,Rp 3 M,,https://www.rumah.com/listing-properti/dijual-rumah-nyaman-dan-siap-huni-dijual-di-turangga-bandung-oleh-adityo-febrianto-17369797
5084,Rumah Murah Nyaman Cherry Field Buah Batu,"Buah batu, Buahbatu, Bandung, Jawa Barat",2,1,50 m²,Rp 8.500.000 per m²,Rp 850 jt,,https://www.rumah.com/listing-properti/dijual-rumah-murah-nyaman-cherry-field-buah-batu-oleh-adityo-febrianto-17369785
5085,The Green City View,"Jl. Jatihandap, Mandalajati, Bandung, Jawa Barat",2,1,36 m²,Rp 9.015.278 per m²,"Rp 649,1 jt",,https://www.rumah.com/listing-properti/dijual-the-green-city-view-oleh-gan-17369760
5086,City Garden Residence,". Jl. Abdul Hamid, Jatihandap, Mandalajati, Bandung, Jawa Barat",3,2,64 m²,Rp 12.425.000 per m²,"Rp 1,0437 M",,https://www.rumah.com/listing-properti/dijual-city-garden-residence-oleh-gan-17369722
5087,"DIJUAL Rumah Asri, Aman, dan Nyaman di Perumahan Sukadamai, Bandung","sukadamai, Sukajadi, Bandung, Jawa Barat",3,2,150 m²,Rp 15.348.837 per m²,"Rp 3,3 M",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-asri-aman-dan-nyaman-di-perumahan-sukadamai-bandung-oleh-sumie-tan-17369661
5088,batununggal,"batununggal, Batununggal, Bandung, Jawa Barat",3,2,91 m²,Rp 8.571.429 per m²,"Rp 1,5 M",,https://www.rumah.com/listing-properti/dijual-batununggal-oleh-riza-pahlevi-17369584
5089,Rumah Rahayu Jalan Utama,"Rahayu, Kopo, Margaasih, Bandung, Jawa Barat",7,3,440 m²,Rp 9.393.939 per m²,"Rp 3,1 M",,https://www.rumah.com/listing-properti/dijual-rumah-rahayu-jalan-utama-oleh-ruby-17369409
5090,"2 Bedrooms House Ujung Berung, Bandung, Jawa Barat","Ujung Berung, Bandung, Jawa Barat",2,1,151 m²,Rp 9.166.667 per m²,"Rp 1,1 M",,https://www.rumah.com/listing-properti/dijual-2-bedrooms-house-ujung-berung-bandung-jawa-barat-oleh-rosma-16515283
5091,"5 Bedrooms House Antapani, Bandung, Jawa Barat","Antapani, Bandung, Jawa Barat",5,1,150 m²,Rp 10.000.000 per m²,Rp 650 jt,,https://www.rumah.com/listing-properti/dijual-5-bedrooms-house-antapani-bandung-jawa-barat-oleh-rosma-16442108
5092,Rumah,"jl.kaum kaler, Ujung Berung, Bandung, Jawa Barat",2,1,57 m²,Rp 8.111.111 per m²,Rp 365 jt,,https://www.rumah.com/listing-properti/dijual-rumah-oleh-rosma-16677430
5093,"Jarang ada! ! Murah! ! Rumah salendro sayap turangga, bandung tengah","Salendro, turangga, bandung tengah, Turangga, Bandung, Jawa Barat",5,3,260 m²,Rp 12.096.774 per m²,"Rp 2,25 M",,https://www.rumah.com/listing-properti/dijual-jarang-ada-murah-rumah-salendro-sayap-turangga-bandung-tengah-oleh-ellys-16962727
5094,Rumah Siap Huni Komplek Margahayu Soekarno Hatta,"Komplek Margahayu Soekarno Hatta, Margahayu, Bandung, Jawa Barat",6,4,190 m²,Rp 7.167.630 per m²,"Rp 1,24 M",,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-komplek-margahayu-soekarno-hatta-oleh-adityo-febrianto-17368635
5095,Dijual Rumah MURAH Tmn Cileunyi dkt Cibiru Jatinangor,"Taman Cileunyi, Cileunyi, Bandung, Jawa Barat",2,1,50 m²,Rp 3.716.216 per m²,Rp 275 jt,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-murah-tmn-cileunyi-dkt-cibiru-jatinangor-oleh-anto-16379796
5096,"Jual RUMAH BARU di Taman Holis Indah 2, THI 2","Taman Holis Indah 2, Taman Hollis Indah, Bandung, Jawa Barat",2,1,70 m²,Rp 8.407.080 per m²,Rp 950 jt,,https://www.rumah.com/listing-properti/dijual-jual-rumah-baru-di-taman-holis-indah-2-thi-2-oleh-lolan-yulita-17209400
5097,"TURUN HARGA ! ! Jual Cepat Lapangan Futsal (Bisa Dijadikan Gudang) dan Bangunan Rumah di Bojong Raya,","Jl. Bojong Raya, Bandung Kulon, Bandung, Jawa Barat",1,1,753 m²,Rp 7.971.939 per m²,"Rp 6,25 M",,https://www.rumah.com/listing-properti/dijual-turun-harga-jual-cepat-lapangan-futsal-bisa-dijadikan-gudang-dan-bangunan-rumah-di-bojong-raya-oleh-lolan-yulita-17095664
5098,Rumah murah arcamanik dekat antapani dekat soekarno hatta,"Arcamanik, Arcamanik, Bandung, Jawa Barat",6,2,200 m²,Rp 5.357.143 per m²,Rp 750 jt,,https://www.rumah.com/listing-properti/dijual-rumah-murah-arcamanik-dekat-antapani-dekat-soekarno-hatta-oleh-rina-marlina-17133459
5099,"TURUN HARGA ! ! Rumah di TKI 3 Blok E, Taman Kopo Indah 3, Kopo, Rahayu","Taman Kopo Indah 3, Taman Kopo Indah, Bandung, Jawa Barat",2,2,70 m²,Rp 7.870.370 per m²,Rp 850 jt,,https://www.rumah.com/listing-properti/dijual-turun-harga-rumah-di-tki-3-blok-e-taman-kopo-indah-3-kopo-rahayu-oleh-lolan-yulita-17211467
5100,"Turun Harga Lagi, Sitaan Bank, Harga di Bawah Pasaran, Rumah di Komplek Nata Endah","Kopo, Bandung, Jawa Barat",8,7,441 m²,Rp 5.000.000 per m²,Rp 2 M,,https://www.rumah.com/listing-properti/dijual-turun-harga-lagi-sitaan-bank-harga-di-bawah-pasaran-rumah-di-komplek-nata-endah-oleh-lolan-yulita-17095565
5101,Tanjungsari Antapani,"Tanjungsari Antapani, Antapani, Bandung, Jawa Barat",2,1,60 m²,Rp 6.944.444 per m²,Rp 750 jt,,https://www.rumah.com/listing-properti/dijual-tanjungsari-antapani-oleh-rina-marlina-15787799
5102,Dijual Murah Rumah Cluster Cikutra Dekat Sukaluyu Bandung,"Cikutra, Cikutra, Bandung, Jawa Barat",3,3,150 m²,Rp 9.469.697 per m²,"Rp 1,25 M",,https://www.rumah.com/listing-properti/dijual-dijual-murah-rumah-cluster-cikutra-dekat-sukaluyu-bandung-oleh-rina-marlina-16998673
5103,Rumah murah 2 Lantai Dalam Cluster Arcamanik,"Arcamanik, Arcamanik, Bandung, Jawa Barat",3,2,80 m²,Rp 7.201.835 per m²,Rp 785 jt,,https://www.rumah.com/listing-properti/dijual-rumah-murah-2-lantai-dalam-cluster-arcamanik-oleh-rina-marlina-17038670
5104,Dijual rumah setra duta 3 lantai siap pakai bagus,"setra duta, Setra Duta, Bandung, Jawa Barat",4,3,300 m²,Rp 29.411.765 per m²,Rp 4 M,,https://www.rumah.com/listing-properti/dijual-dijual-rumah-setra-duta-3-lantai-siap-pakai-bagus-oleh-tommy-tri-santoso-16593896
